Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-22 00:00:00-05:00,149.9256070993389,149.9256070993389,146.45972862093805,146.91551208496094,490600,0.0,0.0
2020-12-23 00:00:00-05:00,148.93807388293558,150.0205686659444,147.16239181279755,148.06446838378906,473800,0.0,0.0
2020-12-24 00:00:00-05:00,148.03595655408293,150.4573302279873,147.7985672623098,149.7356719970703,202800,0.0,0.0
2020-12-28 00:00:00-05:00,150.6282849315971,152.51789475828767,149.88763136822476,151.65380859375,340500,0.0,0.0
2020-12-29 00:00:00-05:00,151.96717238312186,152.97371548050583,151.03661011175643,151.24551391601562,315200,0.0,0.0
2020-12-30 00:00:00-05:00,150.74221801757812,151.6252993321442,150.13450193867732,150.74221801757812,305200,0.0,0.0
2020-12-31 00:00:00-05:00,150.9131292184543,153.9802096175025,150.04904311874796,153.81878662109375,428700,0.0,0.0
2021-01-04 00:00:00-05:00,153.5719022548986,155.00574308997267,147.9600294707596,150.65676879882812,747700,0.0,0.0
2021-01-05 00:00:00-05:00,150.65676278717635,151.65380083736684,147.60867751758155,151.0840606689453,427800,0.0,0.0
2021-01-06 00:00:00-05:00,149.4698139826744,153.95172547523043,148.91906902504488,153.34400939941406,594900,0.0,0.0
2021-01-07 00:00:00-05:00,154.59743328010865,157.60752840799057,154.25559204692766,156.6199951171875,567200,0.0,0.0
2021-01-08 00:00:00-05:00,157.1517094733821,159.04133343176372,156.35408493893564,158.528564453125,483900,0.0,0.0
2021-01-11 00:00:00-05:00,159.5161357246908,160.6935775013202,156.18318033532262,156.657958984375,582500,0.0,0.0
2021-01-12 00:00:00-05:00,156.00278293125854,156.00278293125854,151.93867831260516,152.2995147705078,607900,0.0,0.0
2021-01-13 00:00:00-05:00,152.68881330274937,153.33450529745772,149.7261847408159,149.92559814453125,400600,0.0,0.0
2021-01-14 00:00:00-05:00,150.37187826782755,151.51134400619182,145.9564430982562,146.19383239746094,442900,0.0,0.0
2021-01-15 00:00:00-05:00,146.15589398972608,147.95055715059036,145.16836052892643,146.75411987304688,415300,0.0,0.0
2021-01-19 00:00:00-05:00,148.24489147131808,148.52027122158918,146.6591324074213,147.95053100585938,455800,0.0,0.0
2021-01-20 00:00:00-05:00,148.42532342229518,150.37191910220227,146.90604018827023,146.95350646972656,518100,0.0,0.0
2021-01-21 00:00:00-05:00,147.60866324188333,149.05199423695962,145.28225100916305,145.37721252441406,518100,0.0,0.0
